店名: 一百, 地址: 巴陵中路18号岳阳一百大厦一楼, 省市: 湖南省, 岳阳市
店名: 汇泽, 地址: 东茅岭路42号岳阳汇泽商业文化广场, 省市: 湖南省, 岳阳市
店名: 泰和, 地址: 巴陵路泰和商业广场, 省市: 湖南省, 岳阳市
店名: 岳阳高铁出发层, 地址: 武广高铁岳阳东站出发层岳1-2、1-4.1-10商铺, 省市: 湖南省, 岳阳市
店名: 长安路, 地址: 临湘长安镇长安西路12号1层, 省市: 湖南省, 岳阳市
店名: 金鄂路, 地址: 岳阳大道步步高广场, 省市: 湖南省, 岳阳市
店名: 岳阳建湘路, 地址: 花板桥路青年中路与建湘路交汇处西南侧（天伦购物公园）, 省市: 湖南省, 岳阳市
店名: 华容县迎宾路, 地址: 城关镇迎宾中路肯德基餐厅, 省市: 湖南省, 岳阳市
店名: 湘阴太傅路, 地址: 太傅路与东茅路交汇处, 省市: 湖南省, 岳阳市
店名: 五里牌, 地址: 五里牌社区东茅岭路洞庭新天地1楼及2楼, 省市: 湖南省, 岳阳市
店名: 启明路, 地址: 启明路宏远万汇大楼肯德基餐厅, 省市: 湖南省, 岳阳市
店名: 友谊, 地址: 建设中路友谊100中心一层, 省市: 湖南省, 岳阳市
店名: 洛王路, 地址: 市辖区冷水铺路洛王段岳阳新天地商业广场肯德基餐厅, 省市: 湖南省, 岳阳市
店名: 天鹅路, 地址: 城关镇天鹅路与兴荣路交叉口西南角富安广场, 省市: 湖南省, 岳阳市
店名: 青年路, 地址: 青年路迅力五金机电市场沃尔玛超市一楼肯德基餐厅, 省市: 湖南省, 岳阳市
店名: 得胜路, 地址: 得胜路与东茅岭路交汇处东南角步步高岳阳新天地G1层, 省市: 湖南省, 岳阳市
店名: 得胜路甜品站, 地址: 得胜路与东茅岭路交汇处东南角步步高岳阳新天地3层, 省市: 湖南省, 岳阳市
店名: 名门世家, 地址: 南湖大道西侧727号南湖名门世家一层, 省市: 湖南省, 岳阳市
店名: 英伦世家, 地址: 市辖区白石岭路以西、黎家冲路以南英伦世家二期综合楼一层, 省市: 湖南省, 岳阳市
店名: 天伦城, 地址: 市辖区建湘路以西、青年路以北、五里牌路以南天伦国际C2一层, 省市: 湖南省, 岳阳市
店名: 高泉路, 地址: 高泉南路1号1层, 省市: 湖南省, 岳阳市
