店名: 人民路下南门肯德基, 地址: 人民路下南门肯德基, 省市: 湖南省, 常德市
店名: 临江公园, 地址: 九重天花园一层, 省市: 湖南省, 常德市
店名: 常德滨湖公园, 地址: 洞庭大道与朗州路交汇处大润发超市一楼肯德基, 省市: 湖南省, 常德市
店名: 水星楼, 地址: 人民中路与青年北路交汇处水星楼商业广场4号1-2层, 省市: 湖南省, 常德市
店名: 武陵路, 地址: 城南四眼井社区居委会一层, 省市: 湖南省, 常德市
店名: 桥南市场, 地址: 武陵镇渡口社区居委会车站路楚天禾大酒店一二层, 省市: 湖南省, 常德市
店名: 澧县丁公桥, 地址: 澧阳镇棚厂街社区解放路599号, 省市: 湖南省, 常德市
店名: 洞庭大道, 地址: 洞庭大道与潺陵路交汇处恒生国际中心一层肯德基餐厅, 省市: 湖南省, 常德市
店名: 振兴路餐厅, 地址: 振兴西路龙阳商业广场肯德基, 省市: 湖南省, 常德市
店名: 桃源漳江中路, 地址: 桃源县漳江中路花源大酒店旁好润佳超市一楼, 省市: 湖南省, 常德市
店名: 常德泽云广场, 地址: 武陵大道与常德大道交汇处泽云广场二期11号楼一层, 省市: 湖南省, 常德市
店名: 凯城广场, 地址: 迎宾中路凯城广场一层, 省市: 湖南省, 常德市
店名: 澧阳路, 地址: 楚江街道澧阳中路尧业城市广场一层, 省市: 湖南省, 常德市
店名: 深柳, 地址: 安乡县深柳镇潺陵社区安乡城市广场一层, 省市: 湖南省, 常德市
店名: 津市, 地址: 城北三洲驿金城银座J栋津市好润佳超市一层, 省市: 湖南省, 常德市
店名: 翡翠湾, 地址: 永安街道三闾港社区紫缘路三一翡翠湾小区19栋一层, 省市: 湖南省, 常德市
店名: 紫菱路, 地址: 紫菱路与朗州路交汇处金城2008天天象上一层, 省市: 湖南省, 常德市
店名: 万象金街, 地址: 津澧大道、澧阳路至解放路欢乐城万象金街负一层, 省市: 湖南省, 常德市
店名: 金霞路, 地址: 市辖区江南城区大湖路以东、金霞大道南侧路郎泰·尚象郡, 省市: 湖南省, 常德市
