店名: 世纪路, 地址: 齐河县城齐鲁大街西首路南世纪路西侧德百新时代购物广场中心一层的房产, 省市: 山东省, 德州市
店名: 迎宾餐厅, 地址: 临邑县迎宾路200号荣盛购物中心一层, 省市: 山东省, 德州市
店名: 湖滨, 地址: 湖滨南路德州百货大楼1层, 省市: 山东省, 德州市
店名: 天衢, 地址: 德兴北路2号, 省市: 山东省, 德州市
店名: 三八路, 地址: 解放路以西，三八路以北银座商城一层。, 省市: 山东省, 德州市
店名: 澳德乐, 地址: 新兴路以东、104国道以南的澳德乐时代广场一层东AD003商铺, 省市: 山东省, 德州市
店名: 通衢, 地址: 禹州市汉槐街以北通衢路以西新时代购物广场一、二层的房产, 省市: 山东省, 德州市
店名: 德州服务区, 地址: 京台高速德州服务区西区F1层、F2层，德州服务区东区, 省市: 山东省, 德州市
店名: 德州东站, 地址: 德州东站到达区C04商铺1, 省市: 山东省, 德州市
店名: 德州东站外卖点, 地址: 德州东站候车室（安检处）左侧Z01-1商铺, 省市: 山东省, 德州市
店名: 泰和街, 地址: 银山路以西泰和街以北的夏津德百广场一层, 省市: 山东省, 德州市
店名: 澳德乐外卖点, 地址: 东风东路1899号澳德乐时代广场4F的房产, 省市: 山东省, 德州市
店名: 广运街餐厅, 地址: 武城县广运街德百广场一层, 省市: 山东省, 德州市
店名: 德州澳德乐三楼独立甜品站, 地址: 新兴路以东、104国道以南澳德乐时代广场, 省市: 山东省, 德州市
店名: 宁津德百餐厅, 地址: 正阳路与黄河大街交叉口西南角宁津德百购物广场1F, 省市: 山东省, 德州市
店名: 德州东站三层外卖点, 地址: 德州东站三层出发区G09号商铺, 省市: 山东省, 德州市
店名: 五洲大道, 地址: 五洲大道路乐陵德百广场一层, 省市: 山东省, 德州市
店名: 德州万达, 地址: 湖滨大道669号万达广场内1063/1065/2069B/2070B号商铺, 省市: 山东省, 德州市
店名: 德百铁西, 地址: 东风西路299号德百运河广场一层, 省市: 山东省, 德州市
