店名: 鹤州餐厅, 地址: 人民南路118号（鹤州路邮政局旁）, 省市: 湖南省, 怀化市
店名: 怀化银座, 地址: 麻阳路口西都银座商业广场一层, 省市: 湖南省, 怀化市
店名: 怀化步步高迎丰, 地址: 鹤城区迎丰西路207号, 省市: 湖南省, 怀化市
店名: 怀化市府, 地址: 市委路口佳惠超市旁, 省市: 湖南省, 怀化市
店名: 怀化流金广场, 地址: 怀化溆浦流金广场一楼, 省市: 湖南省, 怀化市
店名: 渠阳, 地址: 渠阳中路靖天国际广场（县公安局旁）一二层, 省市: 湖南省, 怀化市
店名: 怀化新天地广场肯德基, 地址: 新天地城市广场肯德基, 省市: 湖南省, 怀化市
店名: 怀化高铁负一层, 地址: 怀化高铁南站负一层, 省市: 湖南省, 怀化市
店名: 怀化高铁出发, 地址: 怀化高铁南站二楼候车室, 省市: 湖南省, 怀化市
店名: 站前, 地址: 鹤州路与迎丰路交汇处英泰国际综合楼通程商业广场一层, 省市: 湖南省, 怀化市
店名: 太平廊桥, 地址: 太平桥地段太平廊桥项目一层, 省市: 湖南省, 怀化市
店名: 武陵城, 地址: 辰溪镇东风西路与辰州北路交汇处辰溪武陵城酒店一层, 省市: 湖南省, 怀化市
店名: 胜利门, 地址: 沅陵县辰州中路北京公馆2栋1层, 省市: 湖南省, 怀化市
店名: 怀化万达, 地址: 市辖区湖天南路与南环路交汇处西北角, 省市: 湖南省, 怀化市
店名: 屈原大道, 地址: 卢峰镇团结街屈原大道与张家湾交汇处城北壹号项目一层, 省市: 湖南省, 怀化市
店名: 城东路, 地址: 双江镇廊桥城东路与双江大道交汇处大统发购物广场1层, 省市: 湖南省, 怀化市
