店名: 惠州水口, 地址: 水口镇华昌购物广场一层二层, 省市: 广东省, 惠州市
店名: 南湖花园, 地址: 麦地路南湖花园首层, 省市: 广东省, 惠州市
店名: 惠东汽车站, 地址: 环城路与广汕路交汇处惠东客运站首层, 省市: 广东省, 惠州市
店名: 惠东大润发, 地址: 华侨城50米大道大润发商场首层, 省市: 广东省, 惠州市
店名: 横江, 地址: 横江四路10号数码商业街首层, 省市: 广东省, 惠州市
店名: 江北丽日, 地址: 云山路和文昌路交汇处江北丽日购物广场一楼, 省市: 广东省, 惠州市
店名: 惠州意生国际, 地址: 江北文明一路意生广场首层, 省市: 广东省, 惠州市
店名: 惠东, 地址: 平山镇广汕路一至二层, 省市: 广东省, 惠州市
店名: 港惠城, 地址: 港惠新天地一楼及二楼, 省市: 广东省, 惠州市
店名: 大亚湾, 地址: 大亚湾安惠大道64号蓝湾半岛首二层, 省市: 广东省, 惠州市
店名: 吉隆, 地址: 吉隆镇广汕路口旁, 省市: 广东省, 惠州市
店名: 东平, 地址: 东湖西路永旺惠州购物中心首层及二层, 省市: 广东省, 惠州市
店名: 利埔, 地址: 惠东县平山三利埔金光大厦首层, 省市: 广东省, 惠州市
店名: 惠州龙门, 地址: 太平新路万家福购物中心首二层, 省市: 广东省, 惠州市
店名: 小金口, 地址: 小金口街道办事处惠州大道金宝山庄商业广场首层及二层, 省市: 广东省, 惠州市
店名: 华贸天地, 地址: 江北6号小区文昌一路9号华贸天地中心商城负一层0128商铺, 省市: 广东省, 惠州市
店名: 惠东黄埠, 地址: 黄埠镇西社李仔园（人民一路53号）首层、二层, 省市: 广东省, 惠州市
店名: 三新广场餐厅, 地址: 博罗县园洲镇上南村土瓜路三新商贸城首层, 省市: 广东省, 惠州市
店名: 崇雅, 地址: 南门大街惠阳商贸广场一、二楼, 省市: 广东省, 惠州市
店名: 时代, 地址: 淡水镇南门西街2号富民时代广场首、二层, 省市: 广东省, 惠州市
店名: 博罗餐厅, 地址: 罗阳镇北门路89-91号一景大厦首、二层, 省市: 广东省, 惠州市
店名: 大亚湾龙海DT, 地址: 大亚湾西区龙海三路世纪城花园D栋一层二层, 省市: 广东省, 惠州市
店名: 仲恺, 地址: 仲恺高新区20号小区A1148、A1149、A2156首、二层, 省市: 广东省, 惠州市
店名: 开城天虹, 地址: 淡水开城大道旺东怡和家园裙房商业首层P105号商铺, 省市: 广东省, 惠州市
店名: 秋长餐厅, 地址: 秋长镇新世界购物中心肯德基, 省市: 广东省, 惠州市
店名: 天益城, 地址: 仲恺大道金湖一路天益城首层肯德基, 省市: 广东省, 惠州市
店名: 大亚湾万达, 地址: 大亚湾西区上杨地段万达广场1035、1036号商铺, 省市: 广东省, 惠州市
店名: 鑫月城, 地址: 仲恺高新区陈江大道中31号鑫月广场G1039铺, 省市: 广东省, 惠州市
店名: 巽寮湾, 地址: 巽寮滨海旅游度假区岭南民俗文化商业街19栋商铺首层（天后宫旁）, 省市: 广东省, 惠州市
店名: 港惠城甜品站, 地址: 市辖区演达大道11号港惠新天地商业广场4层016号, 省市: 广东省, 惠州市
店名: 龙山DT, 地址: 惠阳区大亚湾中兴北路218号灿邦城市广场GF0701层, 省市: 广东省, 惠州市
店名: 丽日湖逸, 地址: 下角园岭东路8号丽日湖逸家园第3、5栋1层9号、10号, 省市: 广东省, 惠州市
店名: 和畅路, 地址: 市辖区仲恺高新区和畅五路西10号汇港商业广场首层的一部分（铺位号：1F01）, 省市: 广东省, 惠州市
店名: 瑞峰天虹, 地址: 河南岸15号小区三环天虹一层P1002号铺, 省市: 广东省, 惠州市
店名: 宝来广场, 地址: 石化大道西石化大道西300号1层A-19号商铺, 省市: 广东省, 惠州市
