店名: 永州零陵北路, 地址: 零陵北路和凤凰路十字路口东北角步步高购物广场, 省市: 湖南省, 永州市
店名: 永州潇水路, 地址: 潇水路步行街餐厅, 省市: 湖南省, 永州市
店名: 东安湘中广场, 地址: 建设大道湘中广场旁, 省市: 湖南省, 永州市
店名: 芝山路, 地址: 芝山路芝山垠地广场一层餐厅, 省市: 湖南省, 永州市
店名: 永州湘永路, 地址: 湘永路南侧中邦世纪广场一层, 省市: 湖南省, 永州市
店名: 民生路, 地址: 浯溪镇民生路109号一二层, 省市: 湖南省, 永州市
店名: 梧桐路, 地址: 梧桐路南侧、小区路北侧名扬愿景国际广场一层, 省市: 湖南省, 永州市
店名: 九嶷中路, 地址: 舜陵街道舜峰社区九疑中路164号, 省市: 湖南省, 永州市
店名: 春天广场, 地址: 芝山北路与萍洲西路交叉口西南角（现名为新商城春天广场）一层, 省市: 湖南省, 永州市
店名: 星中心, 地址: 龙泉镇新华西路与同心路交汇处一层, 省市: 湖南省, 永州市
店名: 塔峰路餐厅, 地址: 塔峰镇塔峰路与城东路交汇处(供销大厦)1层, 省市: 湖南省, 永州市
