店名: 长兴餐厅, 地址: 长兴街2号, 省市: 辽宁省, 沈阳市
店名: 总统餐厅, 地址: 和平北大街65号, 省市: 辽宁省, 沈阳市
店名: 北一路万达, 地址: 北一中路1号, 省市: 辽宁省, 沈阳市
店名: 北站站内, 地址: 北站路102号, 省市: 辽宁省, 沈阳市
店名: 皇姑乐购肯德基, 地址: （实验中学对面）黄河南大街78甲A华润万家一层, 省市: 辽宁省, 沈阳市
店名: 正良, 地址: 道义南大街28号（华润万家一层）, 省市: 辽宁省, 沈阳市
店名: 星摩尔, 地址: 北二中路6号星摩尔购物中心一楼, 省市: 辽宁省, 沈阳市
店名: 铁百, 地址: 兴华南街16号, 省市: 辽宁省, 沈阳市
店名: 南五, 地址: 南京南街78号南五大润发一楼, 省市: 辽宁省, 沈阳市
店名: 钟楼, 地址: 中街路190号, 省市: 辽宁省, 沈阳市
店名: 中华路, 地址: 中华路9号, 省市: 辽宁省, 沈阳市
店名: 家乐福沈辽, 地址: 沈辽中路5号, 省市: 辽宁省, 沈阳市
店名: 文化路, 地址: 文化路81号家乐福一楼, 省市: 辽宁省, 沈阳市
店名: 沈站站西, 地址: 胜利南街2号（西广场候车室内）, 省市: 辽宁省, 沈阳市
店名: 塔湾, 地址: 塔湾街28号, 省市: 辽宁省, 沈阳市
店名: 二院, 地址: 文化路16号, 省市: 辽宁省, 沈阳市
店名: 城市广场, 地址: 南京北街206号１层, 省市: 辽宁省, 沈阳市
店名: 长白大润发, 地址: 南京南街201号大润发一楼肯德基, 省市: 辽宁省, 沈阳市
店名: 东顺城, 地址: 东顺城街152号, 省市: 辽宁省, 沈阳市
店名: 大北关街, 地址: 大北关街70号, 省市: 辽宁省, 沈阳市
店名: 道义, 地址: 新城子区道义开发区正义四路1号, 省市: 辽宁省, 沈阳市
店名: 大西 , 地址: 青年大街55甲号, 省市: 辽宁省, 沈阳市
店名: 凯利 , 地址: 府大路286号, 省市: 辽宁省, 沈阳市
店名: 明华, 地址: 黄河北大街78号, 省市: 辽宁省, 沈阳市
店名: 北顺城, 地址: 北顺城路184号, 省市: 辽宁省, 沈阳市
店名: 北辰, 地址: 惠工街169号, 省市: 辽宁省, 沈阳市
店名: 百合, 地址: 云峰北街13号, 省市: 辽宁省, 沈阳市
店名: 腾飞, 地址: 滑翔路15号, 省市: 辽宁省, 沈阳市
店名: 金厦, 地址: 太湖街西侧家乐福一楼肯德基, 省市: 辽宁省, 沈阳市
店名: 泛华, 地址: 浑南新区沈营路7号肯德基泛华餐厅, 省市: 辽宁省, 沈阳市
店名: 仙女湖, 地址: 沈辽西路17号, 省市: 辽宁省, 沈阳市
店名: 冠芳园, 地址: 文化路48甲-19号, 省市: 辽宁省, 沈阳市
店名: 兴华, 地址: 兴华南街37-1号, 省市: 辽宁省, 沈阳市
店名: 步阳, 地址: 文化东路8号, 省市: 辽宁省, 沈阳市
店名: 景星, 地址: 兴华南街58号, 省市: 辽宁省, 沈阳市
店名: 富民, 地址: 沈水路600号, 省市: 辽宁省, 沈阳市
店名: 迎春, 地址: 迎春街141号, 省市: 辽宁省, 沈阳市
店名: 马路湾, 地址: 光荣街10号, 省市: 辽宁省, 沈阳市
店名: 小什字街, 地址: 小东路9-2号沈阳大悦城D馆一层, 省市: 辽宁省, 沈阳市
店名: 龙之梦购物中心, 地址: 滂江街22号龙之梦购物中心地下一层, 省市: 辽宁省, 沈阳市
店名: 民族, 地址: 太原南街2号万达广场1楼, 省市: 辽宁省, 沈阳市
店名: 沈新, 地址: 沈新路104号, 省市: 辽宁省, 沈阳市
店名: 新光 DT, 地址: 东陵西路与新东二街交叉路口, 省市: 辽宁省, 沈阳市
店名: 黄河大街DT, 地址: 黄河北大街115号, 省市: 辽宁省, 沈阳市
店名: 沈阳机场T3, 地址: 机场路199号桃仙国际机场T3航站楼2楼, 省市: 辽宁省, 沈阳市
店名: 沈阳站前, 地址: 胜利南街2号, 省市: 辽宁省, 沈阳市
店名: 商业城, 地址: 中街路212号负一层, 省市: 辽宁省, 沈阳市
店名: 启工, 地址: 启工街建设西路5号大润发一楼, 省市: 辽宁省, 沈阳市
店名: 东北大马路, 地址: 东北大马路113号乐都汇商场一楼, 省市: 辽宁省, 沈阳市
店名: 大润发一楼昆山西路, 地址: 昆山西路2号12门大润发一楼, 省市: 辽宁省, 沈阳市
店名: 惠工, 地址: 哈尔滨路168号华府金融购物中心一层, 省市: 辽宁省, 沈阳市
店名: 文艺餐厅, 地址: 大润发超市一楼，省人民医院对面。, 省市: 辽宁省, 沈阳市
店名: 金地琥珀, 地址: 浑南东路18号，金地琥珀1楼, 省市: 辽宁省, 沈阳市
店名: 沈辽路餐厅（益格名邸对面沈辽路华润万家）, 地址: 沈辽路141号1门, 省市: 辽宁省, 沈阳市
