店名: 北街, 地址: 北街路38号凌云大厦一层、二层, 省市: 山东省, 泰安市
店名: 平阳, 地址: 新华街9号银座商城地上一层, 省市: 山东省, 泰安市
店名: 泰安银座, 地址: 东岳大街81号泰安银座商城一层, 省市: 山东省, 泰安市
店名: 志高, 地址: 东岳大街与温泉路交汇处东北角银座商场一、二层, 省市: 山东省, 泰安市
店名: 天外村, 地址: 龙潭路96天外村肯德基, 省市: 山东省, 泰安市
店名: 泰安高铁站, 地址: 泰安站TA-CY-01和TA-CY-02, 省市: 山东省, 泰安市
店名: 新城路, 地址: 新城路073号一层西北侧拐角位置1层, 省市: 山东省, 泰安市
店名: 易初莲花, 地址: 东岳大街中段易初莲花超市一层, 省市: 山东省, 泰安市
店名: 岱宗, 地址: 泰山区岱宗大街249号, 省市: 山东省, 泰安市
店名: 龙潭路餐厅, 地址: 东岳大街82号大润发一层, 省市: 山东省, 泰安市
店名: 泰山大街餐厅, 地址: 泰山区泰山大街566号泰安万达广场一楼肯德基, 省市: 山东省, 泰安市
店名: 西山路餐厅, 地址: 西山路47号一、二层, 省市: 山东省, 泰安市
