店名: 金凤, 地址: 鼓楼南路72号1楼, 省市: 江苏省, 泰州市
店名: 联华, 地址: 济川中路118号, 省市: 江苏省, 泰州市
店名: 昭阳, 地址: 马桥路2号, 省市: 江苏省, 泰州市
店名: 文峰, 地址: 青年路38号, 省市: 江苏省, 泰州市
店名: 上海城, 地址: 人民西路93号1、2层, 省市: 江苏省, 泰州市
店名: 九州, 地址: 东进西路九州商厦1层, 省市: 江苏省, 泰州市
店名: 中兴, 地址: 中兴大道169号一层, 省市: 江苏省, 泰州市
店名: 长安, 地址: 县桥居委会八字桥中央广场A区2号楼A2幢A44, 省市: 江苏省, 泰州市
店名: 海陵, 地址: 坡子街1、2号地块H区101、201, 省市: 江苏省, 泰州市
店名: 高港, 地址: 春港路与金港路交汇处, 省市: 江苏省, 泰州市
店名: 锦宸, 地址: 姜堰大道锦宸大厦, 省市: 江苏省, 泰州市
店名: 迎春, 地址: 迎春东路15号, 省市: 江苏省, 泰州市
店名: 德诚, 地址: 城区9号地块B宗地德诚城广场, 省市: 江苏省, 泰州市
店名: 济川, 地址: 济川东路与海陵南路交叉口东北侧时代超一层, 省市: 江苏省, 泰州市
店名: 英武, 地址: 五里东路北侧、英武南路西侧, 省市: 江苏省, 泰州市
店名: 鹏欣, 地址: 鹏欣丽都G4幢, 省市: 江苏省, 泰州市
店名: 丰收路, 地址: 丰收路东侧牌楼路北侧一层, 省市: 江苏省, 泰州市
店名: 新泽0523-83780709, 地址: 戴南镇新泽路南侧护国坊项目, 省市: 江苏省, 泰州市
店名: 新骥江, 地址: 靖城镇骥江路351号, 省市: 江苏省, 泰州市
店名: 海陵万达, 地址: 海陵南路西侧、济川东路北侧万达广场商业步行街东入口东侧, 省市: 江苏省, 泰州市
店名: 泰兴汽车站, 地址: 济川路东侧、北二环路北侧泰兴汽车客运站一层, 省市: 江苏省, 泰州市
店名: 姜堰西大街, 地址: 姜堰西大街156号1+2F, 省市: 江苏省, 泰州市
店名: 黄桥(黄桥公园对面), 地址: 黄桥镇东进东路128-130号, 省市: 江苏省, 泰州市
店名: 金港, 地址: 金港中路东侧大润发超一层, 省市: 江苏省, 泰州市
店名: 兴化汽车站, 地址: 兴化汽车客运站1层, 省市: 江苏省, 泰州市
店名: 新人民公园, 地址: 梅兰东路299号1层, 省市: 江苏省, 泰州市
店名: 泰和, 地址: 车站路77号1+2层, 省市: 江苏省, 泰州市
店名: 药城DT, 地址: （医药高新区）药城大道一号, 省市: 江苏省, 泰州市
店名: 大桥服务区, 地址: 八圩镇江阴大桥服务区, 省市: 江苏省, 泰州市
店名: 永定, 地址: 永定东路399号泰州万象城一期生活馆L103号商铺, 省市: 江苏省, 泰州市
店名: 溱潼古镇, 地址: 姜堰区溱潼镇华光大桥南侧、姜溱河西侧1+2层, 省市: 江苏省, 泰州市
店名: 黄桥新城, 地址: 泰兴市黄桥镇佳源广场一层, 省市: 江苏省, 泰州市
店名: 宣堡服务区北, 地址: 京沪高速公路宣堡服务区北楼1+2(往北京方向), 省市: 江苏省, 泰州市
店名: 宣堡服务区南, 地址: 京沪高速宣堡服务区南楼（往江阴方向）, 省市: 江苏省, 泰州市
店名: 润晖DT, 地址: 渔婆南路98号润晖国际广场, 省市: 江苏省, 泰州市
店名: 泰和甜品站, 地址: 车站路66号泰和国际B区必胜客二楼侧门, 省市: 江苏省, 泰州市
店名: 泰兴万达, 地址: 鼓楼北路西侧、振兴路西侧万达广场一层, 省市: 江苏省, 泰州市
店名: 泰兴吾悦, 地址: 鼓楼北路199号新城吾悦广场1030号商铺, 省市: 江苏省, 泰州市
店名: 美好易居城, 地址: 美好易居城云庭轩32幢101室, 省市: 江苏省, 泰州市
店名: 姜堰万家福, 地址: 罗塘街道姜堰大道380号姜堰万家福广场一层, 省市: 江苏省, 泰州市
店名: 姜堰大润发, 地址: 三水大道三水新都会商业广场一层肯德基, 省市: 江苏省, 泰州市
店名: 姜堰新时代, 地址: 西大街158号时代商业广场1+2层, 省市: 江苏省, 泰州市
店名: 泰州天虹, 地址: 高港区药城大道天虹购物中心一层L109铺+四层419A, 省市: 江苏省, 泰州市
店名: 泰州天虹甜品站, 地址: 高港区药城大道天虹购物中心四层419A, 省市: 江苏省, 泰州市
店名: 新人民公园甜品站, 地址: 梅兰东路299号1层, 省市: 江苏省, 泰州市
