店名: 海甸, 地址: 人民路12号民博大厦1楼（海甸三西西路与人民桥交汇处）, 省市: 海南省, 海口市
店名: 海府, 地址: 海府路18＃南亚广场家乐福首层, 省市: 海南省, 海口市
店名: 国兴, 地址: 国兴大道北侧盛达景都一层, 省市: 海南省, 海口市
店名: 红城湖, 地址: 红城湖名富广场一层, 省市: 海南省, 海口市
店名: 海垦, 地址: 海垦路西岭华庭广场1层肯德基, 省市: 海南省, 海口市
店名: 海口东站, 地址: 东环高铁海口东站HKD1、HKD2处商业网点, 省市: 海南省, 海口市
店名: 名门广场肯德基-名门, 地址: 五指山路名门广场一楼, 省市: 海南省, 海口市
店名: 金茂, 地址: 国贸三横路京华城C区1楼金茂肯德基, 省市: 海南省, 海口市
店名: 望海广场肯德基—望海, 地址: 海秀东路8号望海国际广场一楼, 省市: 海南省, 海口市
店名: 滨海, 地址: 滨海大道秀英时代广场首层, 省市: 海南省, 海口市
店名: 府城餐厅, 地址: 府城忠介路步行街一号百货大楼, 省市: 海南省, 海口市
店名: 金世纪餐厅, 地址: 海秀路亿圣和商场一楼（市九中旁）, 省市: 海南省, 海口市
店名: 海秀, 地址: 海秀路10号明珠广场一二楼, 省市: 海南省, 海口市
店名: 上邦餐厅, 地址: 龙华路98号上邦百汇城二号楼一二层, 省市: 海南省, 海口市
店名: 友谊, 地址: 龙华路11号友谊商场一楼, 省市: 海南省, 海口市
店名: 大润发龙昆南, 地址: 龙昆南路58号和信广场一楼, 省市: 海南省, 海口市
店名: 白龙, 地址: 文明东路213号一层, 省市: 海南省, 海口市
店名: 国贸餐厅, 地址: 国贸大道28号金贸商城首层肯德基, 省市: 海南省, 海口市
店名: 鹏晖餐厅, 地址: 海甸岛和平大道鹏晖商业广场一楼, 省市: 海南省, 海口市
店名: 电影公社, 地址: 龙桥镇电影公社南洋街E001、E002商铺, 省市: 海南省, 海口市
店名: 海口秀英万达, 地址: 秀英万达广场1001铺（海榆中线与椰海大道交叉口东北侧）, 省市: 海南省, 海口市
店名: 海口吾悦, 地址: 迎宾路18号海口新城吾悦广场, 省市: 海南省, 海口市
店名: 宜欣广场, 地址: 明珠路8号首层, 省市: 海南省, 海口市
店名: 日月广场, 地址: 国兴大道8号C01地块日月广场, 省市: 海南省, 海口市
店名: 美兰机场, 地址: 海口美兰国际机场美兰美购城二楼2-B-3商铺, 省市: 海南省, 海口市
店名: 海口远大, 地址: 长滨四路7号远大购物中心, 省市: 海南省, 海口市
店名: 中山路, 地址: 中山北路20号乐周生活馆(府城三角公园旁边), 省市: 海南省, 海口市
店名: 群上广场餐厅, 地址: 蓝天街道办事处群上村南侧群上路群上广场1层, 省市: 海南省, 海口市
店名: 秀英, 地址: 秀英大道26号鹏泰兴购物广场一二层, 省市: 海南省, 海口市
店名: 海口绿色佳园, 地址: 凤翔东路6号绿色佳园10-110商铺一层, 省市: 海南省, 海口市
