店名: 华光餐厅, 地址: 华光路86号大润发超市一层, 省市: 山东省, 淄博市
店名: 泰客荣肯德基, 地址: 桓公路103号泰客荣商场一层、二层, 省市: 山东省, 淄博市
店名: 淄博中心, 地址: 商场东路2号利群购物广场1层, 省市: 山东省, 淄博市
店名: 东泰, 地址: 大顺路与晏婴路交叉口东泰购物中心一层、二层, 省市: 山东省, 淄博市
店名: 莲池餐厅, 地址: 北西五路25号, 省市: 山东省, 淄博市
店名: 宝龙餐厅, 地址: 中心大街与东岳中心大街与东岳路交叉口银座商城一层, 省市: 山东省, 淄博市
店名: 淄川餐厅, 地址: 张博路新星商厦1层, 省市: 山东省, 淄博市
店名: 西六路, 地址: 人民西路51号一层, 省市: 山东省, 淄博市
店名: 共青团路, 地址: 柳泉路152号物业南侧下沉广场西侧(面向正东地面至地下一层的自动扶梯)的房产, 省市: 山东省, 淄博市
店名: 博银, 地址: 人民路以北、英雄路以东、博山青年路1号博山银座商城人民路一层、二层的房产, 省市: 山东省, 淄博市
店名: 柳泉广场, 地址: 淄川区柳泉正承广场地下一层银座商城, 省市: 山东省, 淄博市
店名: 银座商城, 地址: 中心路40号一层, 省市: 山东省, 淄博市
店名: 鲁泰大道, 地址: 高新区鲁泰大道以北西六路以东的淄博银泰城一层编号为1035和1036的房产, 省市: 山东省, 淄博市
店名: 周村银座餐厅, 地址: 建设中路（丝绸路27号，新建东路33号）银座商城地上一层, 省市: 山东省, 淄博市
店名: 鲁山路, 地址: 鲁山路佳惠购物中心一层, 省市: 山东省, 淄博市
店名: 周村盛世国际, 地址: 太和路119号, 省市: 山东省, 淄博市
店名: 淄博高铁北站, 地址: 齐风大道淄博高铁北站三楼肯德基, 省市: 山东省, 淄博市
