店名: 新淮餐厅, 地址: 淮海北路65号, 省市: 江苏省, 淮安市
店名: 时代餐厅, 地址: 解放东路43号, 省市: 江苏省, 淮安市
店名: 新亚2餐厅, 地址: 淮海东路142号, 省市: 江苏省, 淮安市
店名: 楚州淮城, 地址: 淮城镇南门大街2号供销大厦一层, 省市: 江苏省, 淮安市
店名: 洪泽人民, 地址: 东风路111号, 省市: 江苏省, 淮安市
店名: 盱眙华厦, 地址: 华厦国际广场A幢1单元一层, 省市: 江苏省, 淮安市
店名: 楚州苏果, 地址: 淮城镇东门大街108号一层, 省市: 江苏省, 淮安市
店名: 金湖苏果, 地址: 金湖路12号与新民路交汇处华润苏果购物广场一、二层, 省市: 江苏省, 淮安市
店名: 淮安万达, 地址: 淮安万达广场（万达一楼B口）, 省市: 江苏省, 淮安市
店名: 涟水大润发, 地址: 涟水县安东路与常青路西北角, 省市: 江苏省, 淮安市
店名: 淮安北京路苏果, 地址: 北京新村五区新苑逸城, 省市: 江苏省, 淮安市
店名: 健康东路, 地址: 健康东路49号（丹桂苑综合楼营业房）, 省市: 江苏省, 淮安市
店名: 南昌路大润发, 地址: 南昌路与威海路交汇处东北角, 省市: 江苏省, 淮安市
店名: 盱眙大润发, 地址: 都梁大道与东湖南路交汇处, 省市: 江苏省, 淮安市
店名: 承德北路大润发, 地址: 承德北路与黄河路交汇处, 省市: 江苏省, 淮安市
店名: 楚州大润发, 地址: 翔宇大道与北门大街交汇处, 省市: 江苏省, 淮安市
店名: 洪泽大润发, 地址: 北京路与建设路交汇处, 省市: 江苏省, 淮安市
店名: 淮阴时代, 地址: 淮阴区利群时代超市一楼, 省市: 江苏省, 淮安市
店名: 六洞服务区（东）, 地址: 六洞服务区, 省市: 江苏省, 淮安市
店名: 六洞服务区(西), 地址: 六洞服务区, 省市: 江苏省, 淮安市
店名: 玖玟珑, 地址: 翔宇南道玖珑汇商业广场一楼铺位号1F-030, 省市: 江苏省, 淮安市
店名: 百悦广场, 地址: 涟水县莲花小区东侧百悦广场, 省市: 江苏省, 淮安市
店名: 淮安新城吾悦, 地址: 生态文旅区凤里路1号淮安吾悦广场, 省市: 江苏省, 淮安市
店名: 淮安新城吾悦甜品站, 地址: 市辖区生态文旅区凤里路1号4F4029-2号, 省市: 江苏省, 淮安市
店名: 淮安区万达, 地址: 楚州大道东侧、翔宇大道南侧的万达广场1003、2003号商铺, 省市: 江苏省, 淮安市
