店名: 先锋, 地址: 先锋中路汇丰大厦首层, 省市: 广东省, 清远市
店名: 赢之城, 地址: 人民二路22号（原清远新城东1号区清远商业文化中心销售中心）首、二层, 省市: 广东省, 清远市
店名: 英德太阳城, 地址: 和平路太阳城广场一层及夹层, 省市: 广东省, 清远市
店名: 连州大道, 地址: 东门中路（连州北湖影剧院东侧建筑物）首层及二层, 省市: 广东省, 清远市
店名: 清远城市广场, 地址: 先锋中路18号城广场2期二、三层, 省市: 广东省, 清远市
店名: 利民, 地址: 利民路明珠广场首层A1-1、2卡, 省市: 广东省, 清远市
店名: 锦绣清城, 地址: 先锋东路东门塘2号大润发首层外租区第一号专柜, 省市: 广东省, 清远市
店名: 阳山, 地址: 阳城镇北门路12号北门场一层及二层, 省市: 广东省, 清远市
店名: 清新DT, 地址: 清新区清新大道清新体育馆旁肯德基餐厅, 省市: 广东省, 清远市
店名: 清远万达广场, 地址: 湖西路89号万达广场内1053号商铺, 省市: 广东省, 清远市
店名: 佛冈, 地址: 石角镇环城中路209号鸿兴银座1楼肯德基, 省市: 广东省, 清远市
