店名: 安吉胜利, 地址: 递铺镇胜利东路99号肯德基, 省市: 浙江省, 湖州市
店名: 南浔泰安, 地址: 南浔镇泰安路161号泰安商业广场6号楼, 省市: 浙江省, 湖州市
店名: 织里富民, 地址: 织里镇富民路298号, 省市: 浙江省, 湖州市
店名: 长兴欧尚, 地址: 经济开发区经一路238号欧尚超市一楼, 省市: 浙江省, 湖州市
店名: 德清正翔, 地址: 武康镇永安街158号正翔商业广场一楼, 省市: 浙江省, 湖州市
店名: 湖州爱山, 地址: 爱山广场A座8号楼一二层, 省市: 浙江省, 湖州市
店名: 湖州物美, 地址: 人民路389-395号(物美超市右侧), 省市: 浙江省, 湖州市
店名: 凤凰, 地址: 凤凰开发区滨河路666号大润发超市, 省市: 浙江省, 湖州市
店名: 长兴金陵, 地址: 金陵中路268号, 省市: 浙江省, 湖州市
店名: 湖州红旗, 地址: 南街487号, 省市: 浙江省, 湖州市
店名: 德清美都 早餐7点营业, 地址: 武康镇永安街与英溪路交叉口, 省市: 浙江省, 湖州市
店名: 长兴海洋城餐厅, 地址: 画溪大道与忻湖路交叉口嘉兆海洋城106号一楼肯德基, 省市: 浙江省, 湖州市
店名: 安吉昌硕餐厅, 地址: 昌硕街道九州昌硕广场6号楼一层, 省市: 浙江省, 湖州市
店名: 湖州万达, 地址: 大升路899号万达广场1001号商铺, 省市: 浙江省, 湖州市
店名: 湖州新天地, 地址: 新天地商城1F（红旗路与观凤路转南西北侧）, 省市: 浙江省, 湖州市
店名: 长兴人民餐厅, 地址: 长兴雉城镇人民南路红宇商厦, 省市: 浙江省, 湖州市
店名: 练市东方DT, 地址: 练市镇练杭大道890，892，896号, 省市: 浙江省, 湖州市
店名: 南方新世界, 地址: 南浔南方新世界F幢一楼156号.158号.159号.252号, 省市: 浙江省, 湖州市
店名: 湖州大都汇, 地址: 南街933号大都汇一层1F-08号, 省市: 浙江省, 湖州市
店名: 织里浙北, 地址: 织里镇汇德广场1F, 省市: 浙江省, 湖州市
店名: 新市银河城, 地址: 德清县新市镇银河城市广场, 省市: 浙江省, 湖州市
店名: 长兴利时广场, 地址: 利时广场14幢, 省市: 浙江省, 湖州市
店名: 湖州金源餐厅, 地址: 南街与红旗路东北角，金源大厦一、二层, 省市: 浙江省, 湖州市
店名: 湖州服务区（南）餐厅, 地址: 高新区塘红村申苏浙皖高速湖州服务区（南）, 省市: 浙江省, 湖州市
店名: 湖州服务区（北）餐厅, 地址: 高新区塘红村申苏浙皖高速湖州服务区（北）, 省市: 浙江省, 湖州市
店名: 安吉恒隆大道DT, 地址: 1室中国安吉市递铺镇丰华路2-16号楼丰华商业广场3幢01-1室、02-, 省市: 浙江省, 湖州市
店名: 湖州万达甜品站, 地址: 万达商业广场4052A号商铺, 省市: 浙江省, 湖州市
店名: 龙之梦动物园, 地址: 长兴县长兴县太湖龙之梦乐园动物园一 层? DWY002? 号商铺, 省市: 浙江省, 湖州市
店名: 龙之梦动物园精选, 地址: 长兴县太湖龙之梦乐园动物园一 层?DWY-010&011? 号商铺, 省市: 浙江省, 湖州市
店名: 南浔古镇独立甜品站, 地址: 南东街75号, 省市: 浙江省, 湖州市
店名: 长兴服务区北(安徽方向), 地址: 长兴县林城镇阳光村申苏浙皖高速长兴服务北区（皖向）, 省市: 浙江省, 湖州市
店名: 长兴服务区（南）, 地址: 长兴县林城镇阳光村申苏浙皖高速长兴服务南区(苏向), 省市: 浙江省, 湖州市
店名: 德清烜赫广场, 地址: 德清县武康镇千秋村德清烜赫广场, 省市: 浙江省, 湖州市
