店名: 韶山, 地址: 车站路28号, 省市: 湖南省, 湘潭市
店名: 白石商业广场, 地址: 建设北路8号, 省市: 湖南省, 湘潭市
店名: 湘潭新华隆, 地址: 建设南路步步高广场一层, 省市: 湖南省, 湘潭市
店名: 湘乡市新湘路, 地址: 新湘路嘉亨茂商业广场一楼肯德基餐厅, 省市: 湖南省, 湘潭市
店名: 湘潭东方红, 地址: 芙蓉路东方红广场负一楼肯德基餐厅, 省市: 湖南省, 湘潭市
店名: 湘潭凤凰路, 地址: 凤凰路23号融城大厦一层, 省市: 湖南省, 湘潭市
店名: 板塘铺, 地址: 长潭路129号多伦国际商贸城步步高购物中心一层及二层, 省市: 湖南省, 湘潭市
店名: 湘潭万达, 地址: 岳塘高新区湘潭大道281号, 省市: 湖南省, 湘潭市
店名: 韶山景区, 地址: 韶山景区游客中心, 省市: 湖南省, 湘潭市
店名: 湘潭中心Umall餐厅, 地址: 岳塘区岚园路4号湘潭中心UMALL一层, 省市: 湖南省, 湘潭市
店名: 湘潭中心Umall餐厅, 地址: 岳塘区岚园路4号湘潭中心UMALL一层, 省市: 湖南省, 湘潭市
店名: 麒麟路, 地址: 易俗河镇杨柳中路西侧、荷花路以南欣积福湾三期19#楼一层, 省市: 湖南省, 湘潭市
