店名: 新华二餐厅, 地址: 新华路66号佳乐家超市一/二层肯德基, 省市: 山东省, 潍坊市
店名: 诸城市柏斯奇餐厅, 地址: 诸城市广场路20号（老百盛一楼肯德基）, 省市: 山东省, 潍坊市
店名: 高密振兴餐厅, 地址: 高密市利群路北首(金孚隆广场一层肯德基), 省市: 山东省, 潍坊市
店名: 诸城和平餐厅, 地址: 和平街与密州路交叉口（和平街1号）, 省市: 山东省, 潍坊市
店名: 学院路, 地址: 圣城街与学院路交界处东北角被称为“全福元商场”一层、二层, 省市: 山东省, 潍坊市
店名: 兴隆中路, 地址: 临朐县民主路以东、骈邑路以西、兴隆路以北的房产一、二层, 省市: 山东省, 潍坊市
店名: 圣城-(渤海路佳乐家）, 地址: 圣城路412号一层, 省市: 山东省, 潍坊市
店名: 青州益都, 地址: 尧王山东路88号一层  0536-3271979, 省市: 山东省, 潍坊市
店名: 人民公园, 地址: 青年路66号金沙广场一层, 省市: 山东省, 潍坊市
店名: 泰华, 地址: 东风东街360号泰华城一层, 省市: 山东省, 潍坊市
店名: 交通街, 地址: 交通街468号中百大厦一、二层。, 省市: 山东省, 潍坊市
店名: 北海路银座8059060, 地址: 北海路胜利街交叉口银座商城一层0536-8059060, 省市: 山东省, 潍坊市
店名: 泰华城, 地址: 安丘市商场路东段南侧、国税局东侧被称为“泰华曼哈顿”部分一层, 省市: 山东省, 潍坊市
店名: 利民, 地址: 利民街387号一层、二层, 省市: 山东省, 潍坊市
店名: 尚东, 地址: 高新区福寿东街4369号谷德广场一层肯德基门店, 省市: 山东省, 潍坊市
店名: 福寿东街, 地址: 新华路与福寿东街交叉口西南角大润发一二层, 省市: 山东省, 潍坊市
店名: 凤凰大街, 地址: 凤凰大街与夷安大道交界口东北角中百大厦的部分地下一层、一层的房产, 省市: 山东省, 潍坊市
店名: 潍坊万达, 地址: 奎文区万达广场一层1029A号和二层2036号店铺, 省市: 山东省, 潍坊市
店名: 云山餐厅17616797339, 地址: 青州云门山路与范公亭路交叉口东北角被称为“休闲购物广场”地块上部分一层。, 省市: 山东省, 潍坊市
店名: 青州泰华城, 地址: 青州市范公亭路与昭德路交叉口“泰华城”一层0536-3897776, 省市: 山东省, 潍坊市
店名: 恒安街, 地址: 恒安路与方山路交叉路口5777号全福元肯德基, 省市: 山东省, 潍坊市
店名: 全福元中心餐厅, 地址: 洛城街道全福元综合体游乐场北门肯德基餐厅（圣城东街与尧河路交叉口一楼）, 省市: 山东省, 潍坊市
店名: 歌尔, 地址: 奎文区蓉花路166号歌尔生活广场部分房产一层的房产, 省市: 山东省, 潍坊市
店名: 花园餐厅, 地址: 朝阳街道月潭路南1588号金孚隆肯德基, 省市: 山东省, 潍坊市
店名: 寿光万达, 地址: 广场街以南、学院路以西、新兴街以北万达广场1007号商铺, 省市: 山东省, 潍坊市
店名: 人民西路, 地址: 诸城市人民西路123号佳乐家购物中心一层, 省市: 山东省, 潍坊市
