店名: 莱阳旌旗餐厅, 地址: 城厢街道旌旗西路328号（人民商场一层肯德基餐厅）, 省市: 山东省, 烟台市
店名: 青岛肯德基有限公司烟台市分公司, 地址: 大海阳路166号大润发东侧一层肯德基, 省市: 山东省, 烟台市
店名: 北关, 地址: 北关路686号利群商场一层肯德基, 省市: 山东省, 烟台市
店名: 幸福, 地址: 幸福中路60号一层, 省市: 山东省, 烟台市
店名: 招远金城, 地址: 招远市温泉路259号温泉商厦一层肯德基, 省市: 山东省, 烟台市
店名: 莱州路, 地址: 文化东路利群购物广场1层, 省市: 山东省, 烟台市
店名: 彩云城, 地址: 长江路18号1-2层, 省市: 山东省, 烟台市
店名: 南山, 地址: 南山开发区南山南路13号一层, 省市: 山东省, 烟台市
店名: 府前, 地址: 莱州路与府前街交叉口(雷锋广场南临)星辉大厦1、2层, 省市: 山东省, 烟台市
店名: 观海路, 地址: 观海路277号佳世客1层肯德基, 省市: 山东省, 烟台市
店名: 金海螺, 地址: 海阳路与虎山街交叉口处景泰金海螺商业广场三号楼北端一层和二层, 省市: 山东省, 烟台市
店名: 阳光100肯德基（海港路）, 地址: 海港路26号烟台阳光100城市广场S1号楼一层2119号, 省市: 山东省, 烟台市
店名: 颐高数码城, 地址: 开发区长江路33号1179号房产一层、二层。, 省市: 山东省, 烟台市
店名: 福海, 地址: 福海路178号天创国际城振华超市一层, 省市: 山东省, 烟台市
店名: 新黄城, 地址: 黄城东莱街258号一、二层, 省市: 山东省, 烟台市
店名: 迎春大街, 地址: 烟台迎春大街与金滩东交叉口东北角烟台银座商城南面一、二层。, 省市: 山东省, 烟台市
店名: 登州路, 地址: 登州路77号一层、二层, 省市: 山东省, 烟台市
店名: 丽达-3308962, 地址: 海阳市旅游度假区海滨中路丽达购物广场东南把角一层, 省市: 山东省, 烟台市
店名: 龙门DT, 地址: 龙门西路88号物业东南角广场, 省市: 山东省, 烟台市
店名: 烟台鹿鸣餐厅, 地址: 烟威路以东迟家村段烟台石化第九号加油站加油棚以北地块, 省市: 山东省, 烟台市
店名: 烟台北马路, 地址: 北马路烟台火车站南售票厅东临网点一层、二层。, 省市: 山东省, 烟台市
店名: 印象城, 地址: 文化东路以北文昌北路以西莱州金运印象城一层、二层的房产, 省市: 山东省, 烟台市
店名: 通海路, 地址: 通海路与宁海大街交汇处牟平振华商厦一层通海路一侧南把角的房产, 省市: 山东省, 烟台市
店名: 龙门西路, 地址: 龙门西路18号莱阳大润发一层。, 省市: 山东省, 烟台市
店名: 华联餐厅, 地址: 南大街261号, 省市: 山东省, 烟台市
店名: 星颐, 地址: 开发区长江路160号星颐广场1号商业1楼105、107号商铺的房产, 省市: 山东省, 烟台市
店名: 莱阳站, 地址: 莱阳站候车室2号场地, 省市: 山东省, 烟台市
店名: 衡山路万达, 地址: 淮河路2号的万达广场内的1001、1002号商铺, 省市: 山东省, 烟台市
店名: 机场路, 地址: 机场路与大东路交叉口东南侧烟台新都汇中振华超市机场路主入口南侧一层、二层, 省市: 山东省, 烟台市
店名: 烟台南站, 地址: 烟台南站候车室二楼东侧2号场地, 省市: 山东省, 烟台市
店名: 南关大街肯德基, 地址: 正阳路与南关大街交叉口烟台牟平一格广场正阳路一侧商铺一层的房产, 省市: 山东省, 烟台市
店名: 烟台机场, 地址: 蓬莱市蓬莱国际机场航站楼一楼到达厅8号出口旁, 省市: 山东省, 烟台市
店名: 长江梦乐城, 地址: 经济技术开发区长江路120号永旺梦乐城烟台金沙滩购物中心一层105号, 省市: 山东省, 烟台市
店名: 烟台大悦城, 地址: 北马路150号三层3F-21B, 省市: 山东省, 烟台市
店名: 长江梦乐城甜品站, 地址: 经济技术开发区长江路120号永旺梦乐城烟台金沙滩购物中心三层商铺351C号, 省市: 山东省, 烟台市
店名: 桃村北站, 地址: 栖霞市桃村北站候车室2号, 省市: 山东省, 烟台市
店名: 烟台保利MALL, 地址: 莱山区清泉路29号保利mall一层C101-2铺位, 省市: 山东省, 烟台市
店名: 招金广场, 地址: 温泉路118号招金广场一层F101铺位, 省市: 山东省, 烟台市
店名: 招远振华商厦, 地址: 东关街60号金城商业大厦101号招远振华商厦一层, 省市: 山东省, 烟台市
