店名: 新欧尚, 地址: 中新大道西181号欧尚超市肯德基, 省市: 江苏省, 苏州市
店名: 张家港锦丰, 地址: 张家港市锦丰镇锦店路1号肯德基, 省市: 江苏省, 苏州市
店名: 吴中碧波(吴中商城5A写字楼一楼), 地址: 吴中经济开发区东吴南路388号, 省市: 江苏省, 苏州市
店名: 张家港塘桥, 地址: 张家港塘桥镇南京路与西环路交汇处大润发卖场1层, 省市: 江苏省, 苏州市
店名: 浒关, 地址: 高新区文昌路301号浒关大润发超内一楼, 省市: 江苏省, 苏州市
店名: 昆山张浦, 地址: 昆山市张浦新吴街148号, 省市: 江苏省, 苏州市
店名: 昆山开发区, 地址: 昆山市经济技术开发区前进中路237号, 省市: 江苏省, 苏州市
店名: 园区胜浦, 地址: 胜浦镇兴浦街金胜路口金雅苑8号1层, 省市: 江苏省, 苏州市
店名: 新苏站, 地址: 苏站路27号苏州站北广场北出站口东侧B1层出租车上车点方向, 省市: 江苏省, 苏州市
店名: 张家港公园, 地址: 张家港市沙洲西路购物公园太阳广场1层M101-M102号, 省市: 江苏省, 苏州市
店名: 园区唯亭, 地址: 唯亭镇金陵西路288号1栋(65075310), 省市: 江苏省, 苏州市
店名: 吴江鲈乡, 地址: 松陵镇江兴西路469号, 省市: 江苏省, 苏州市
店名: 石路新苏, 地址: 广济南路219号石路天虹商场负1楼, 省市: 江苏省, 苏州市
店名: 昆山陆家镇, 地址: 昆山市陆家镇友谊路118号华润万家超市一楼, 省市: 江苏省, 苏州市
店名: 凤凰, 地址: 凤凰街与十梓街交叉路口, 省市: 江苏省, 苏州市
店名: 吴中越溪, 地址: 苏州吴中区越溪镇吴中大道1109号“南苏州生活广场”E幢B馆华润万家超市旁, 省市: 江苏省, 苏州市
店名: 园区斜塘（联丰广场65079712）, 地址: 工业园区莲葑路18号联丰商业广场4幢102世纪联华卖场内, 省市: 江苏省, 苏州市
店名: 昆山千灯, 地址: 昆山市千灯镇尚书路8号千灯大润发一层, 省市: 江苏省, 苏州市
店名: 吴江运东, 地址: 吴江经济开发区运东大道东侧江南奥斯卡5幢1层, 省市: 江苏省, 苏州市
店名: 黄埭, 地址: 相城区黄埭镇康阳路西136号, 省市: 江苏省, 苏州市
店名: 盛泽西环路, 地址: 吴江市盛泽镇西环路西侧欧尚超一层, 省市: 江苏省, 苏州市
店名: 吴江车站, 地址: 吴江市经济开发区二二七省道西、学院路东侧吴江汽车站内一层, 省市: 江苏省, 苏州市
店名: 园区星塘街, 地址: 工业园区淞江路18号欧尚商业中心1栋1层1006号, 省市: 江苏省, 苏州市
店名: 吴中香雪海, 地址: 吴中区吴中大道168号香学海购物广场一楼, 省市: 江苏省, 苏州市
店名: 昆山周市镇春晖路, 地址: 昆山市周市镇春晖路758号望族商城一层, 省市: 江苏省, 苏州市
店名: 星海街, 地址: 工业园区星海街199号星海生活广场北区负一楼B115, 省市: 江苏省, 苏州市
店名: 学府, 地址: 高新区（科锐路东学新路南学府路北）汇金商业广场11幢, 省市: 江苏省, 苏州市
店名: 广济南路, 地址: 金阊区广济南路19号大润发一层, 省市: 江苏省, 苏州市
店名: 吴江汾湖, 地址: 吴江市汾湖镇杭州路北侧TESCO乐购超一层, 省市: 江苏省, 苏州市
店名: 渭塘, 地址: 相城区渭塘镇渭星街288号2幢104室一层、二层，105室一层、二层, 省市: 江苏省, 苏州市
店名: 相城方圆里（宝燕商城）65387782, 地址: 相城区元和街道华元路918号101室一层, 省市: 江苏省, 苏州市
店名: 吴中车站（苏州吴中汽车车站旁）, 地址: 吴中经济开发区广建路10号苏州吴中汽车客运站一二层, 省市: 江苏省, 苏州市
店名: 金港润发, 地址: 张家港市金港镇黄泗浦西路1号大润发超市内肯德基餐厅, 省市: 江苏省, 苏州市
店名: 园区玲珑0512-65381762, 地址: 工业园区玲珑街58号1栋101, 省市: 江苏省, 苏州市
店名: 张家港杨舍, 地址: 张家港市杨舍镇梁丰路南侧杨舍老街1#-10#（园林路、梁丰路、焦家弄、向阳弄围合区内杨舍老街商业步行街）, 省市: 江苏省, 苏州市
店名: 昆山世茂润发, 地址: 昆山市前进东路南侧夏驾河东侧昆山世茂广场一层, 省市: 江苏省, 苏州市
店名: 太仓港区, 地址: 太仓市太仓港港口开发区龙江路东侧、映雪路北侧“太仓邻里中心”肯德基餐厅, 省市: 江苏省, 苏州市
店名: 太仓新区东亭路, 地址: 太仓市娄江路与县府街交叉口西南侧（太仓新区上海路北、东亭路东地块）万达广场, 省市: 江苏省, 苏州市
店名: 盛泽春之声, 地址: 吴江市盛泽镇北观音弄38号春之声商业广场一层, 省市: 江苏省, 苏州市
店名: 阳澄湖, 地址: 相城区阳澄湖中路29号中环百汇广场1-6户, 省市: 江苏省, 苏州市
店名: 园区时尚（电话68323308）, 地址: 工业园区唯亭镇后戴街9号（电话68323308）, 省市: 江苏省, 苏州市
店名: 桐泾北路, 地址: 桐泾北路218号来客茂时尚生活中心一二层, 省市: 江苏省, 苏州市
店名: 园区东沙湖62537349, 地址: 园区东沙湖邻里中心(电话62537349), 省市: 江苏省, 苏州市
店名: 园区车坊, 地址: 苏州工业园区普惠路1089号（星湖财富广场）2幢107-108室一二层和2幢106的二层商铺, 省市: 江苏省, 苏州市
店名: 昆山陆家乐购, 地址: 昆山市陆家镇陆家浜北路东侧启发广场华润万家超市一层, 省市: 江苏省, 苏州市
店名: 浒关保卫路, 地址: 浒墅关保卫路33、35号（华润万家购物中心）一层、二层, 省市: 江苏省, 苏州市
店名: 胥口帝豪, 地址: 胥口镇孙武路北侧、香泾路东侧“帝豪家缘”商业一层, 省市: 江苏省, 苏州市
店名: 昆山洞庭湖路, 地址: 昆山市洞庭湖路288号中航城华润万家一层, 省市: 江苏省, 苏州市
店名: 苏站精选, 地址: 苏站路27号苏州站2F层候车室2A检票口（高铁动车南京方向）, 省市: 江苏省, 苏州市
店名: 南站精选, 地址: 南环东路601号二层, 省市: 江苏省, 苏州市
店名: 汽车南站精选, 地址: 常熟市招商东路1号, 省市: 江苏省, 苏州市
店名: 昆山永盛, 地址: 昆山市北门路1118号永盛广场, 省市: 江苏省, 苏州市
店名: 常熟虞景文华, 地址: 常熟市北门大街虞景文华广场内34-35号, 省市: 江苏省, 苏州市
店名: 方洲, 地址: 工业园区方洲路528号方洲邻里中心, 省市: 江苏省, 苏州市
店名: 园区泾园, 地址: 工业园区扬东路277号新屹大厦1幢102室一层, 省市: 江苏省, 苏州市
店名: 昆山朝阳（中医院斜对面）, 地址: 昆山市人民南路125号, 省市: 江苏省, 苏州市
店名: 新华, 地址: 太仓市新华西路5号, 省市: 江苏省, 苏州市
店名: 邻里, 地址: 现代大道158号新城大厦邻里中心A101, 省市: 江苏省, 苏州市
店名: 虞山, 地址: 常熟市和平街2号, 省市: 江苏省, 苏州市
店名: 观前新, 地址: 观前街111号, 省市: 江苏省, 苏州市
店名: 三香, 地址: 三香路345号, 省市: 江苏省, 苏州市
店名: 威尼斯, 地址: 阊胥路282-300号, 省市: 江苏省, 苏州市
