店名: 荆州东门, 地址: 荆沙路与江津路交汇处东升广场一楼（东门外）, 省市: 湖北省, 荆州市
店名: 荆州红门路, 地址: 江津中路204号大润发超一楼, 省市: 湖北省, 荆州市
店名: 荆州北京路, 地址: 北京中路227号肯德基餐厅, 省市: 湖北省, 荆州市
店名: 荆州月亮湾, 地址: 沙市中商百货一楼北京路中路173号, 省市: 湖北省, 荆州市
店名: 荆州美佳华, 地址: 美佳华A128号, 省市: 湖北省, 荆州市
店名: 宏泰, 地址: 五九大道宏泰购物广场一层24号, 省市: 湖北省, 荆州市
店名: 洪湖宏伟路, 地址: 宏伟南路宝安商业广场一、二层, 省市: 湖北省, 荆州市
店名: 容城天骄, 地址: 容城大道90#容城天骄一二层, 省市: 湖北省, 荆州市
店名: 石首皇叔, 地址: 皇叔街77号综合大楼一二层, 省市: 湖北省, 荆州市
店名: 荆州万达, 地址: 北京西路508号万达广场一层1001A, 省市: 湖北省, 荆州市
店名: 玉岭南路, 地址: 新江口镇玉岭南路与人和路交汇处万联人和广场一层, 省市: 湖北省, 荆州市
店名: 江城路, 地址: 监利县红城乡杨铺村江城路与监利大道交汇处百晟广场一层, 省市: 湖北省, 荆州市
店名: 荆州新天地, 地址: 塔桥路新天地上街5号楼一层120号肯德基, 省市: 湖北省, 荆州市
店名: 孱陵大道, 地址: 公安县城南新区斗湖堤镇孱陵大道与文武路交汇处一层, 省市: 湖北省, 荆州市
店名: 石首城市广场, 地址: 东方大道南侧石首城市广场, 省市: 湖北省, 荆州市
