店名: 仙游, 地址: 仙游县鲤城镇洪桥八二五大街359号1层, 省市: 福建省, 莆田市
店名: 新文献, 地址: 文献路大唐广场1楼, 省市: 福建省, 莆田市
店名: 涵华, 地址: 涵华西路3号1-2层, 省市: 福建省, 莆田市
店名: 梅园, 地址: 梅园路三信花园一层, 省市: 福建省, 莆田市
店名: 赤港, 地址: 福泉高速公路莆田境内赤港服务区A道, 省市: 福建省, 莆田市
店名: 金鼎, 地址: 文献东路北侧三信金鼎广场西南面一、二层店面, 省市: 福建省, 莆田市
店名: 东园, 地址: 北大路与东园路交叉口正荣时代广场9号楼一层, 省市: 福建省, 莆田市
店名: 莆田万达, 地址: 霞林街道荔华东大道8号万达广场2058号商铺, 省市: 福建省, 莆田市
店名: 莆田帝宝DT, 地址: 镇海村汉庭花园C区1-3层, 省市: 福建省, 莆田市
店名: 莆田车站, 地址: 莆田动车站一楼候车厅01铺位, 省市: 福建省, 莆田市
店名: 鲤中, 地址: 鲤中片区鲤中电影院一层, 省市: 福建省, 莆田市
店名: 塘北, 地址: 塘北片区塘北路与六一路交叉口隆恒广场的东南侧一层8101、二层8202商铺, 省市: 福建省, 莆田市
店名: 仙游天博, 地址: 鲤南镇城南新区73号地块A区商业综合体西侧广场一至二层, 省市: 福建省, 莆田市
店名: 枫亭, 地址: 仙游县枫亭镇铺头社区枫江北街928号枫城新都一期21交易展示中心枫亭世纪城一层, 省市: 福建省, 莆田市
店名: 水韵城, 地址: 涵江区旧城片区东区涵城水韵城顶铺路零售商业安置店铺一层编号34, 省市: 福建省, 莆田市
店名: 文献步行街, 地址: 莆田文献步行街, 省市: 福建省, 莆田市
店名: 东圳东路, 地址: 荔城区拱辰街道东圳东路1199号中海天下1号楼105室部分一层, 省市: 福建省, 莆田市
店名: 凤凰广场, 地址: 镇海街道文献东路1048号、1056号阳光100凤凰广场一楼, 省市: 福建省, 莆田市
店名: 学园路, 地址: 学园路世全时尚国际（商住楼）二层铺位编号1011, 省市: 福建省, 莆田市
