店名: 东方餐厅, 地址: 解放中路37号东方大厦, 省市: 江苏省, 连云港市
店名: 金庭大润发餐厅, 地址: 郁州路与陇海东路交汇处大润发1层, 省市: 江苏省, 连云港市
店名: 赣榆黄海路, 地址: 青口镇黄海路37号, 省市: 江苏省, 连云港市
店名: 灌云时代, 地址: 胜利路富园广场时代超市1楼, 省市: 江苏省, 连云港市
店名: 东海时代, 地址: 和平东路79号时代超市旁, 省市: 江苏省, 连云港市
店名: 盐河路时代, 地址: 朝阳西路与盐河南路交叉口时代超级购物中心一层, 省市: 江苏省, 连云港市
店名: 灌南世茂, 地址: 人民中路世茂时代广场B区, 省市: 江苏省, 连云港市
店名: 墟沟嘉瑞宝餐厅, 地址: 中山西路嘉瑞宝广场一楼, 省市: 江苏省, 连云港市
店名: 墟沟大润发, 地址: 平山路与港城大道交叉口大润发超市1楼, 省市: 江苏省, 连云港市
店名: 连云港万达, 地址: 凌州路万达广场1楼2号门左侧, 省市: 江苏省, 连云港市
店名: 连云港利群广场, 地址: 建设路与巨龙路交叉口利群广场一楼, 省市: 江苏省, 连云港市
店名: 赣榆吾悦, 地址: 海城路西侧、金海路北侧新城吾悦广场一层1001号商铺、负一层801号库房, 省市: 江苏省, 连云港市
店名: 海州吾悦, 地址: 秦东门大街南侧、通灌南路东侧新城吾悦广场一层1035号商铺, 省市: 江苏省, 连云港市
店名: 东海水晶城, 地址: 中华北路1号东海水晶城3号馆家得福超市入口南侧一层, 省市: 江苏省, 连云港市
店名: 苍梧路中石化, 地址: 苍梧路43号, 省市: 江苏省, 连云港市
店名: 连云港苍梧路餐厅(苍梧路中石化加油站）, 地址: 苍梧路43号, 省市: 江苏省, 连云港市
