店名: 青龙桥, 地址: 东风路338号, 省市: 湖南省, 邵阳市
店名: 邵阳帝王, 地址: 蔡锷路地王大厦, 省市: 湖南省, 邵阳市
店名: 邵阳红岭, 地址: 开发区红岭路199号, 省市: 湖南省, 邵阳市
店名: 邵陵餐厅, 地址: 人民广场家惠超市旁, 省市: 湖南省, 邵阳市
店名: 邵阳衡宝路, 地址: 邵东两市镇衡宝路九龙国际大酒店步步高超市一层, 省市: 湖南省, 邵阳市
店名: 湾田大道, 地址: 酿溪镇栗山社区新阳路旁新邵湾田广场S4栋1楼, 省市: 湖南省, 邵阳市
店名: 解放路, 地址: 金石镇解放路160号新宁时代广场一层, 省市: 湖南省, 邵阳市
店名: 宝庆路, 地址: 宝庆东路与五一南路西南角邵阳友阿国际广场一层, 省市: 湖南省, 邵阳市
店名: 新桔城, 地址: 洞口镇大正街（桔城）路9号电信综合大楼1-2层, 省市: 湖南省, 邵阳市
店名: 红星时代, 地址: 宝庆中路与呙家路交汇处0002001等879处悦城商业广场一层, 省市: 湖南省, 邵阳市
店名: 展辉, 地址: 百姓广场北侧展辉国际时代广场一层, 省市: 湖南省, 邵阳市
