店名: 车百餐厅, 地址: 东风大街38号欧亚车百一楼肯德基, 省市: 吉林省, 长春市
店名: 福林, 地址: 同志街68号, 省市: 吉林省, 长春市
店名: 吉盛, 地址: 东盛大街交吉林大路西南亚泰广场1-2层, 省市: 吉林省, 长春市
店名: 时代, 地址: 工农大路1015号时代服饰广场一层, 省市: 吉林省, 长春市
店名: 崇智, 地址: 重庆路1388号（沃尔玛购物广场二楼）, 省市: 吉林省, 长春市
店名: 前进, 地址: 前进大街59号, 省市: 吉林省, 长春市
店名: 彩云, 地址: 青年路81号, 省市: 吉林省, 长春市
店名: 宽平, 地址: 红旗街与宽平大路交汇都会大厦一楼, 省市: 吉林省, 长春市
店名: 长春西站, 地址: 安庆北路长春西站二楼候车大厅, 省市: 吉林省, 长春市
店名: 长春欧亚, 地址: 红旗街230号, 省市: 吉林省, 长春市
店名: 东大桥, 地址: 东天街1号, 省市: 吉林省, 长春市
店名: 大经路, 地址: 大经路96号（华联古玩城一楼）, 省市: 吉林省, 长春市
店名: 新天地, 地址: 亚泰大街1138号, 省市: 吉林省, 长春市
店名: 长新, 地址: 长新街777号广源商都一楼肯德基, 省市: 吉林省, 长春市
店名: 东岭街, 地址: 自由大路与东岭北街交汇处欧亚超市一楼, 省市: 吉林省, 长春市
店名: 临河, 地址: 经济技术开发区临河街与珠海路交汇处天地十二坊C29栋, 省市: 吉林省, 长春市
店名: 凯旋路, 地址: 铁北二路2008号凯旋路客运站一楼, 省市: 吉林省, 长春市
店名: 物贸餐厅, 地址: 人民大街6969号, 省市: 吉林省, 长春市
店名: 博硕, 地址: 净月开发区博硕路499号, 省市: 吉林省, 长春市
店名: 瑞阳(亚泰大街欧亚超市一楼), 地址: 亚泰大街8599号, 省市: 吉林省, 长春市
店名: 长大, 地址: 卫星路星城国际A座1层, 省市: 吉林省, 长春市
店名: 越野路, 地址: 汽车产业开发区越野路400栋, 省市: 吉林省, 长春市
店名: 飞跃, 地址: 汽车产业开发区东风大街3619号, 省市: 吉林省, 长春市
店名: 柳影路, 地址: 柳影路万龙第五城3号楼, 省市: 吉林省, 长春市
店名: 中海, 地址: 净月开发区卫星路商住区中海水岸春城G5号楼, 省市: 吉林省, 长春市
店名: 欧亚卖场2, 地址: 卖场10号门:高新区开运街5178号, 省市: 吉林省, 长春市
店名: 天嘉, 地址: 新竹路与基隆南街交汇处, 省市: 吉林省, 长春市
店名: 湖光, 地址: 前进大街488号(欧亚超市旁), 省市: 吉林省, 长春市
店名: 春城, 地址: 春城大街万鑫花园3号楼, 省市: 吉林省, 长春市
店名: 同志街, 地址: 同志街191号中山大厦一楼, 省市: 吉林省, 长春市
店名: 长春新火车站, 地址: 长白路5号长春火车站, 省市: 吉林省, 长春市
店名: 东环城DT, 地址: 经济开发区自由大路6738号, 省市: 吉林省, 长春市
店名: 磐谷DT, 地址: 高新区硅谷大街超达磐谷国际商务港正门, 省市: 吉林省, 长春市
店名: 净月, 地址: 净月开发区净月大街5555号, 省市: 吉林省, 长春市
店名: 皓月, 地址: 皓月大路2519号, 省市: 吉林省, 长春市
店名: 长春南湖餐厅, 地址: 南关区东岭南街1405号金桥花园22号楼一层, 省市: 吉林省, 长春市
店名: 中兴餐厅, 地址: 新发路1号, 省市: 吉林省, 长春市
店名: 欧亚卖场三, 地址: 开运街5178号欧亚卖场20号门, 省市: 吉林省, 长春市
店名: 农安路, 地址: 农安大路欧亚商贸一楼, 省市: 吉林省, 长春市
店名: 兴顺, 地址: 兴顺街与长沈路交汇处欧亚商超一楼, 省市: 吉林省, 长春市
店名: 卫星广场, 地址: 人民大街8899号, 省市: 吉林省, 长春市
店名: 同德餐厅, 地址: 红旗街616号万达广场一层二层, 省市: 吉林省, 长春市
店名: 鹏宏, 地址: 九台市鹏宏广场一楼, 省市: 吉林省, 长春市
店名: 君子兰, 地址: 长新东路与远达大街交汇欧亚购物中心一楼肯德基餐厅, 省市: 吉林省, 长春市
店名: 五环, 地址: 嫩江路4号欧亚广场一楼（联合书城对面）, 省市: 吉林省, 长春市
店名: 创业餐厅, 地址: 创业大街大润发超市一楼, 省市: 吉林省, 长春市
店名: 长春站内, 地址: 长春火车站内, 省市: 吉林省, 长春市
店名: 晨宇餐厅, 地址: 吉林大路以北、东盛大街以东晨宇小区5号楼, 省市: 吉林省, 长春市
店名: 百脑汇餐厅, 地址: 工农大路1313号, 省市: 吉林省, 长春市
店名: 万盛, 地址: 西环城路115号万盛国汇大厦一层, 省市: 吉林省, 长春市
店名: 北方市场肯德基餐厅, 地址: 金川街北方市场13号门, 省市: 吉林省, 长春市
店名: 新民广场, 地址: 延安大街99号欧亚新生活购物广场, 省市: 吉林省, 长春市
店名: 栖乐荟, 地址: 高新区学府街栖乐荟购物中心地上一层, 省市: 吉林省, 长春市
店名: 新民广场甜品站, 地址: 延安大街99号欧亚新生活购物广场, 省市: 吉林省, 长春市
店名: 正阳, 地址: 皓月大路1888号长春绿园新城吾悦广场2楼, 省市: 吉林省, 长春市
店名: 车城, 地址: 绿园区西湖大路万达广场一层, 省市: 吉林省, 长春市
店名: 车城甜品站, 地址: 绿园区西湖大路万达广场一层, 省市: 吉林省, 长春市
店名: 正阳甜品站, 地址: 皓月大路1888号长春绿园新城吾悦广场, 省市: 吉林省, 长春市
店名: 环球中心, 地址: 净月开发区生态大街2188号环球贸易中心一层, 省市: 吉林省, 长春市
店名: 欧风广场甜品站, 地址: 开运街5178号 欧亚卖场2店, 省市: 吉林省, 长春市
店名: 亚泰富苑, 地址: 重庆路618号亚泰富苑购物广场1楼, 省市: 吉林省, 长春市
店名: 中东奥莱, 地址: 北人民大街4082号砂之船（中东）奥特莱斯3F-CY-01, 省市: 吉林省, 长春市
店名: 环球中心甜品站, 地址: 生态大街2188号环球购物中心地上一层115B号商铺, 省市: 吉林省, 长春市
