店名: 天润广场, 地址: 东风一路11号天润广场首层, 省市: 广东省, 阳江市
店名: 阳春大道, 地址: 阳春大道盛世大厦1楼, 省市: 广东省, 阳江市
店名: 三环, 地址: 三环路工业一街2号大润发首层, 省市: 广东省, 阳江市
店名: 北环路, 地址: 阳江是江城区瑞禾路A-03-01号一层, 省市: 广东省, 阳江市
店名: 阳西, 地址: 城人民北路耀宝凯旋豪庭商住小区二期商场1楼A08号商铺, 省市: 广东省, 阳江市
店名: 京源城, 地址: 新华路与振士中路交汇处京源城购物中心首层108号商铺, 省市: 广东省, 阳江市
店名: 新江北路, 地址: 西平路以西、新江北路以北S2地块君怡花园小区二期中心商场首层, 省市: 广东省, 阳江市
店名: 百利广场, 地址: 东风一路3号百利广场一层, 省市: 广东省, 阳江市
店名: 盈信广场, 地址: 东风三路88号盈信广场首层, 省市: 广东省, 阳江市
店名: 阳江新达城, 地址: 新江北路北侧、创业路东侧福盈新达城首层, 省市: 广东省, 阳江市
店名: 阳江站, 地址: 阳江车站阳江1-1号商铺, 省市: 广东省, 阳江市
店名: 阳西站, 地址: 阳西县阳西车站、编号阳西-2号商铺, 省市: 广东省, 阳江市
店名: 新都汇, 地址: 1005-1009铺东门南路333号新都汇时代广场购物中心二期2号楼一层1001-1003铺、, 省市: 广东省, 阳江市
店名: 阳江旅游大道, 地址: 闸坡镇旅游大道北（N-西-009、N-西-010）莳元大厦首层, 省市: 广东省, 阳江市
店名: 大角湾, 地址: 闸坡镇银都酒店南侧（天一宾馆）一、二楼, 省市: 广东省, 阳江市
