店名: 花山, 地址: 解放路15号, 省市: 安徽省, 马鞍山市
店名: 华润苏果雨山, 地址: 雨山路华润苏果1楼, 省市: 安徽省, 马鞍山市
店名: 马鞍山八佰伴, 地址: 湖东路以西大华国际广场2期八佰伴一二层, 省市: 安徽省, 马鞍山市
店名: 雨山沃尔玛(印象汇一楼）, 地址: 雨山路与康乐路交汇口印象汇一楼肯德基餐厅, 省市: 安徽省, 马鞍山市
店名: 马鞍山欧尚, 地址: 雨山路与江东大道交叉口欧尚超市一楼, 省市: 安徽省, 马鞍山市
店名: 当涂大润发, 地址: 青莲路与振兴路交叉口西北角大润发超市一楼, 省市: 安徽省, 马鞍山市
店名: 和县历阳, 地址: 和县历阳安德利商场一二楼, 省市: 安徽省, 马鞍山市
店名: 马鞍山团结, 地址: 团结广场新亚大楼1楼, 省市: 安徽省, 马鞍山市
店名: 马鞍山天润发, 地址: 湖北路东段天润发超市1楼, 省市: 安徽省, 马鞍山市
店名: 马鞍山万达, 地址: 太白大道万达广场一楼, 省市: 安徽省, 马鞍山市
店名: 红旗路大润发, 地址: 红旗中路与湖南西路交叉口伟星时代广场大润发超市一层, 省市: 安徽省, 马鞍山市
