公司名字:重庆碧海源日化用品有限公司, 法人:吴诗慧, 地址:重庆市巴南经济园区界石组团A区石桂大道厂房
公司名字:哈尔滨北星药业有限公司, 法人:关成山, 地址:黑龙江省哈尔滨市利民开发区哈尔滨轴承厂东500米综合楼二层
公司名字:广东御芳泽生物科技有限公司, 法人:刘洪荣, 地址:佛山市南海区里水镇逢涌象台村夏西工业区34号2楼（住所申报）
公司名字:贵州艾力康中草药开发有限公司, 法人:罗仙, 地址:贵州省黔南布依族苗族自治州龙坪镇城西医药园区1号
公司名字:广州厚美生物科技有限公司, 法人:何微微, 地址:广州市白云区白云湖街环滘龙口大街20号华富科创园A栋二楼201-203
公司名字:广州顾元化妆品有限公司, 法人:李苗, 地址:广州市花都区镜湖大道37号5栋101房
公司名字:广州博养堂健康产业有限公司, 法人:易江, 地址:广州市白云区嘉禾街新科下村永和东街11号（自主申报）
公司名字:广州市芊彩化妆品有限公司, 法人:李春福, 地址:广州市白云区永平街东平村老屋街5巷5号
公司名字:广州天香生物科技有限公司, 法人:刘健兵, 地址:广州市白云区龙归街柏塘草塘一路15号C栋3楼
公司名字:广州卡迪莲化妆品科技有限公司, 法人:曾八生, 地址:广州市白云区东华华盛南路2-3（空港白云）
公司名字:南京天其美生物技术有限公司, 法人:仇德发, 地址:南京市江宁区乾德路2号4栋1楼（江宁高新园）
公司名字:江苏海智生物医药有限公司, 法人:杨政, 地址:南京市江北新区科创大道9号B2幢
公司名字:广西锦秀堂生物科技有限公司, 法人:莫汉约, 地址:南宁市长凯路25号2号生产厂房南面三楼
公司名字:广州嘉以尔生物科技有限公司, 法人:李敏之, 地址:广州市白云区北太路1633号广州民营科技园科盛路1、3、5号自编3栋201房A201室
公司名字:广州鼎美国际生物科技有限公司, 法人:何剑锋, 地址:广州市增城区新塘镇白江村南顺社奄坑（厂房A1）
公司名字:广东旭睿美医疗科技有限公司, 法人:阮睿, 地址:广州市白云区永兴和兴东街6号一、二楼
公司名字:广州市伊亿莉化妆品有限公司, 法人:陈伟金, 地址:广州市白云区太和镇永兴村陈太路86号
公司名字:广州欣资丹化妆品有限公司, 法人:陈庆祥, 地址:广州市白云区均禾街长红村双和庄工业区C座自编10号
公司名字:广州希黎诗化妆品制造有限公司, 法人:周建林, 地址:广州市从化太平镇元洲岗村105国道边环亚厂房3自编第五层之一
公司名字:广州市白云区爱梦丝美发用品用具厂, 法人:王海松, 地址:广州市白云区人和镇大巷村二社工业园6号
公司名字:广州名颜化妆品有限公司, 法人:刘永周, 地址:广州市白云区白云湖街大朗村二十社大塘横路3号自编2栋A区2&mdash;4楼
公司名字:广州市品智化妆品有限公司, 法人:曹杰, 地址:广州市白云区龙归街龙河西北横一路1号301房
公司名字:广州市至尚日用化妆品有限公司, 法人:潘源潮, 地址:广州市花都区新华街镜湖大道富邦路3号
公司名字:广州疆漫生物科技有限公司, 法人:施天亮, 地址:广州市白云区嘉禾长湴街263号
公司名字:广州仙施生物科技有限公司, 法人:高瑞, 地址:广州市番禺区大龙街市新路新水坑段4号3-5层
公司名字:无锡邦士立生物科技有限公司, 法人:邱国忠, 地址:无锡市北塘区金山四支路11-1-12号
公司名字:广东贝多宝新生物科技实业有限公司, 法人:吴舒灏, 地址:汕头市潮南区峡山街道泗联潮新北路
公司名字:吉林一正科技发展有限公司, 法人:王也文, 地址:四平经济开发区一正路1号
公司名字:广东璞言生物科技有限公司, 法人:马宇娜, 地址:汕头市潮阳区和平镇凤善福兴路
公司名字:汕头市澄海区金泳乐化妆品有限公司, 法人:蔡贤彬, 地址:汕头市澄海区凤翔外埔庵头
